Always,Sempre
"After number of attempts to login","Depois de um número de tentativas de autenticação"
"Provided form does not exist","O formulário informado não existe"
"Incorrect CAPTCHA","CAPTCHA incorreto"
"Incorrect CAPTCHA.","CAPTCHA incorreto."
"The account is locked. Please wait and try again or contact %1.","A conta está bloqueada. Por favor, espere e tente novamente ou contate %1."
"Please enter the letters from the image","Por favor, informe as letras da imagem"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: CAPTCHA sensível à maíusculas."
"Reload captcha","Regarregar CAPTCHA"
"Please type the letters below","Por favor, informe os caracteres abaixo"
"Attention: Captcha is case sensitive.","Atenção: o CAPTCHA é sensível à maíusculas."
CAPTCHA,CAPTCHA
"Enable CAPTCHA in Admin","Habilitar CAPTCHA na Administração"
Font,Fonte
Forms,Formulários
"Displaying Mode","Modo de exibição"
"Number of Unsuccessful Attempts to Login","Número de tentativas de autenticação mal sucedidas"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se 0 for especificado, o CAPTCHA no formulário de autenticação estará sempre disponível."
"CAPTCHA Timeout (minutes)","Expiração do CAPTCHA (minutos)"
"Number of Symbols","Número de símbolos"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor, especifique 8 símbolos no máximo. Faixa permitida (por exemplo, 3-5)"
"Symbols Used in CAPTCHA","Símbolos utilizados no CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor, utilize somente letras (a-z ou A-Z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos.<br />Caracteres parecidos (por exemplo, ""i"", ""l"", ""1"") diminuem a chance do reconhecimento correto pelo cliente."
"Case Sensitive","Sensível à maíusculas"
"Enable CAPTCHA on Storefront","Habilitar CAPTCHA na frente de loja"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA para os formulários ""Criar Usuário"" e ""Esqueceu a senha"" estarão sempre habilitados se selecionados."