"Invalid domain name: %1","Nome de domínio inválido: %1"
"Invalid cookie lifetime: %1","Tempo de vida inválido para cookie: %1"
"Invalid cookie path","Caminho inválido para cookie"
"We use cookies to make your experience better.","Nós utilizamos cookies para melhorar sua experiência."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Para cumprir a nova diretriz de privacidade eletrônica, precisamos solicitar seu consentimento para configurar os cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Saiba mais</a>."
"Allow Cookies","Permitir cookies"
"Default Cookie Settings","Configurações padrão para cookies"
"Cookie Lifetime","Tempo de vida do cookie"
"Cookie Path","Caminho do cookie"
"Cookie Domain","Domínio do cookie"
"Use HTTP Only","Usar HTTP somente"
"Cookie Restriction Mode","Modo de restrição de cookies"